regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
mixed,2,1,0.5,4.0,32,0,1024,4096,2560,184.961,285.152,284.415,0.9926
mixed,2,1,0.5,4.0,32,0,2048,8192,5120,352.224,553.347,555.326,1.0098
mixed,2,1,0.5,4.0,32,0,4096,16384,10240,685.536,1089.35,1091.78,1.006
mixed,2,1,0.5,4.0,32,512,128,512,320,52.095,52.736,52.064,-0.0484
mixed,2,1,0.5,4.0,32,512,256,1024,640,59.201,84.704,84.096,0.9762
mixed,2,1,0.5,4.0,32,512,512,2048,1280,99.714,151.39,150.88,0.9901
mixed,2,1,0.5,4.0,32,512,1024,4096,2560,185.217,284.128,285.089,1.0097
mixed,2,1,0.5,4.0,32,512,2048,8192,5120,352.288,554.049,554.402,1.0017
mixed,2,1,0.5,4.0,32,512,4096,16384,10240,690.593,1088.26,1090.85,1.0065
mixed,2,1,0.5,4.0,32,1024,128,512,320,84.864,85.183,84.992,0.4013
mixed,2,1,0.5,4.0,32,1024,256,1024,640,85.279,85.952,84.961,-0.4725
mixed,2,1,0.5,4.0,32,1024,512,2048,1280,99.744,151.105,150.526,0.9887
mixed,2,1,0.5,4.0,32,1024,1024,4096,2560,184.864,284.608,284.544,0.9994
mixed,2,1,0.5,4.0,32,1024,2048,8192,5120,352.544,552.48,555.424,1.0147
mixed,2,1,0.5,4.0,32,1024,4096,16384,10240,686.528,1090.37,1092.29,1.0047
mixed,2,1,0.5,4.0,32,2048,128,512,320,151.872,152.032,151.841,-0.1938
mixed,2,1,0.5,4.0,32,2048,256,1024,640,152.16,151.84,152.256,
mixed,2,1,0.5,4.0,32,2048,512,2048,1280,151.425,152.64,151.808,0.3152
mixed,2,1,0.5,4.0,32,2048,1024,4096,2560,185.345,286.463,284.96,0.9851
mixed,2,1,0.5,4.0,32,2048,2048,8192,5120,352.928,552.703,555.52,1.0141
mixed,2,1,0.5,4.0,32,2048,4096,16384,10240,684.579,1088.19,1093.28,1.0126
mixed,2,1,0.5,4.0,32,4096,128,512,320,287.52,285.921,285.251,
mixed,2,1,0.5,4.0,32,4096,256,1024,640,285.474,285.218,286.08,
mixed,2,1,0.5,4.0,32,4096,512,2048,1280,284.896,286.689,285.248,0.1963
mixed,2,1,0.5,4.0,32,4096,1024,4096,2560,285.761,285.727,287.232,
mixed,2,1,0.5,4.0,32,4096,2048,8192,5120,351.264,552.768,555.584,1.014
mixed,2,1,0.5,4.0,32,4096,4096,16384,10240,687.2,1088.84,1092.29,1.0086
mixed,2,1,0.5,4.0,32,8192,128,512,320,555.616,556.993,557.888,1.65
mixed,2,1,0.5,4.0,32,8192,256,1024,640,556.831,557.6,558.592,2.29
mixed,2,1,0.5,4.0,32,8192,512,2048,1280,556.321,555.744,557.378,
mixed,2,1,0.5,4.0,32,8192,1024,4096,2560,554.528,555.456,556.191,1.792
mixed,2,1,0.5,4.0,32,8192,2048,8192,5120,555.521,553.377,556.129,
mixed,2,1,0.5,4.0,32,8192,4096,16384,10240,685.665,1089.64,1093.19,1.0088
mixed,2,1,0.5,4.0,64,0,128,512,320,38.336,52.255,52.321,1.0047
mixed,2,1,0.5,4.0,64,0,256,1024,640,60.255,84.608,84.449,0.9935
mixed,2,1,0.5,4.0,64,0,512,2048,1280,100.097,151.457,151.136,0.9938
mixed,2,1,0.5,4.0,64,0,1024,4096,2560,184.96,285.375,285.025,0.9965
mixed,2,1,0.5,4.0,64,0,2048,8192,5120,351.424,553.632,553.922,1.0014
mixed,2,1,0.5,4.0,64,0,4096,16384,10240,689.473,1089.79,1093.09,1.0082
mixed,2,1,0.5,4.0,64,512,128,512,320,53.344,53.886,53.279,-0.1199
mixed,2,1,0.5,4.0,64,512,256,1024,640,59.743,84.704,84.32,0.9846
mixed,2,1,0.5,4.0,64,512,512,2048,1280,99.936,151.04,151.009,0.9994
mixed,2,1,0.5,4.0,64,512,1024,4096,2560,184.96,284.991,284.96,0.9997
mixed,2,1,0.5,4.0,64,512,2048,8192,5120,351.711,552.897,556.031,1.0156
mixed,2,1,0.5,4.0,64,512,4096,16384,10240,687.329,1088.51,1093.25,1.0118
mixed,2,1,0.5,4.0,64,1024,128,512,320,86.497,86.112,86.145,
mixed,2,1,0.5,4.0,64,1024,256,1024,640,86.08,86.654,86.209,0.2247
mixed,2,1,0.5,4.0,64,1024,512,2048,1280,100.001,151.36,150.976,0.9925
mixed,2,1,0.5,4.0,64,1024,1024,4096,2560,185.28,284.607,285.026,1.0042
mixed,2,1,0.5,4.0,64,1024,2048,8192,5120,352.865,553.184,555.425,1.0112
mixed,2,1,0.5,4.0,64,1024,4096,16384,10240,687.552,1088.29,1094.43,1.0153
mixed,2,1,0.5,4.0,64,2048,128,512,320,152.927,153.248,153.376,1.3988
mixed,2,1,0.5,4.0,64,2048,256,1024,640,152.961,153.025,152.705,-4.0
mixed,2,1,0.5,4.0,64,2048,512,2048,1280,152.673,152.864,152.927,1.3298
mixed,2,1,0.5,4.0,64,2048,1024,4096,2560,184.544,283.938,285.57,1.0164
mixed,2,1,0.5,4.0,64,2048,2048,8192,5120,351.329,554.72,554.976,1.0013
mixed,2,1,0.5,4.0,64,2048,4096,16384,10240,688.482,1088.03,1092.13,1.0102
mixed,2,1,0.5,4.0,64,4096,128,512,320,287.04,286.72,287.392,
mixed,2,1,0.5,4.0,64,4096,256,1024,640,287.457,287.519,287.776,5.1452
mixed,2,1,0.5,4.0,64,4096,512,2048,1280,287.36,287.746,287.617,0.6658
mixed,2,1,0.5,4.0,64,4096,1024,4096,2560,286.273,286.88,288.737,4.0593
mixed,2,1,0.5,4.0,64,4096,2048,8192,5120,351.041,553.249,554.56,1.0065
mixed,2,1,0.5,4.0,64,4096,4096,16384,10240,688.226,1088.84,1091.46,1.0065
mixed,2,1,0.5,4.0,64,8192,128,512,320,558.369,561.025,558.367,-0.0008
mixed,2,1,0.5,4.0,64,8192,256,1024,640,557.824,559.103,557.12,-0.5504
mixed,2,1,0.5,4.0,64,8192,512,2048,1280,556.097,556.768,558.242,3.1967
mixed,2,1,0.5,4.0,64,8192,1024,4096,2560,556.287,556.002,555.424,
mixed,2,1,0.5,4.0,64,8192,2048,8192,5120,554.688,554.848,556.929,14.0063
mixed,2,1,0.5,4.0,64,8192,4096,16384,10240,688.993,1088.52,1091.9,1.0085
mixed,2,1,0.5,4.0,128,0,128,512,320,38.081,52.193,51.52,0.9523
mixed,2,1,0.5,4.0,128,0,256,1024,640,59.808,84.032,84.002,0.9988
mixed,2,1,0.5,4.0,128,0,512,2048,1280,99.296,151.008,150.688,0.9938
mixed,2,1,0.5,4.0,128,0,1024,4096,2560,184.224,284.256,283.521,0.9927
mixed,2,1,0.5,4.0,128,0,2048,8192,5120,350.881,552.609,553.345,1.0036
mixed,2,1,0.5,4.0,128,0,4096,16384,10240,684.418,1084.55,1089.66,1.0128
mixed,2,1,0.5,4.0,128,512,128,512,320,54.752,54.656,54.622,
mixed,2,1,0.5,4.0,128,512,256,1024,640,59.809,84.16,83.744,0.9829
mixed,2,1,0.5,4.0,128,512,512,2048,1280,99.873,150.688,150.496,0.9962
mixed,2,1,0.5,4.0,128,512,1024,4096,2560,184.768,284.033,284.385,1.0035
mixed,2,1,0.5,4.0,128,512,2048,8192,5120,351.328,551.714,554.529,1.014
mixed,2,1,0.5,4.0,128,512,4096,16384,10240,686.399,1087.04,1091.23,1.0105
mixed,2,1,0.5,4.0,128,1024,128,512,320,86.815,86.718,86.721,
mixed,2,1,0.5,4.0,128,1024,256,1024,640,86.815,87.199,87.008,0.5026
mixed,2,1,0.5,4.0,128,1024,512,2048,1280,99.872,150.369,150.785,1.0082
mixed,2,1,0.5,4.0,128,1024,1024,4096,2560,184.545,284.738,283.809,0.9907
mixed,2,1,0.5,4.0,128,1024,2048,8192,5120,350.879,551.264,553.248,1.0099
mixed,2,1,0.5,4.0,128,1024,4096,16384,10240,684.867,1085.86,1089.38,1.0088
mixed,2,1,0.5,4.0,128,2048,128,512,320,153.728,153.407,153.022,
mixed,2,1,0.5,4.0,128,2048,256,1024,640,153.122,153.633,153.344,0.4344
mixed,2,1,0.5,4.0,128,2048,512,2048,1280,154.241,153.824,153.345,
mixed,2,1,0.5,4.0,128,2048,1024,4096,2560,184.448,284.736,283.649,0.9892
mixed,2,1,0.5,4.0,128,2048,2048,8192,5120,350.882,553.056,551.967,0.9946
mixed,2,1,0.5,4.0,128,2048,4096,16384,10240,685.087,1086.37,1089.35,1.0074
mixed,2,1,0.5,4.0,128,4096,128,512,320,286.975,286.945,285.794,
mixed,2,1,0.5,4.0,128,4096,256,1024,640,286.177,287.008,286.146,-0.0373
mixed,2,1,0.5,4.0,128,4096,512,2048,1280,285.983,287.296,286.721,0.5621
mixed,2,1,0.5,4.0,128,4096,1024,4096,2560,286.367,286.657,286.59,0.769
mixed,2,1,0.5,4.0,128,4096,2048,8192,5120,351.072,550.722,551.874,1.0058
mixed,2,1,0.5,4.0,128,4096,4096,16384,10240,685.987,1086.47,1089.54,1.0077
mixed,2,1,0.5,4.0,128,8192,128,512,320,553.601,552.865,553.279,
mixed,2,1,0.5,4.0,128,8192,256,1024,640,554.05,553.439,553.889,
mixed,2,1,0.5,4.0,128,8192,512,2048,1280,552.898,553.283,554.435,3.9922
mixed,2,1,0.5,4.0,128,8192,1024,4096,2560,553.727,553.122,554.754,
mixed,2,1,0.5,4.0,128,8192,2048,8192,5120,552.45,552.769,554.208,5.511
mixed,2,1,0.5,4.0,128,8192,4096,16384,10240,686.018,1091.01,1093.25,1.0055
mixed,2,1,0.5,4.0,256,0,128,512,320,39.744,54.56,53.313,0.9158
mixed,2,1,0.5,4.0,256,0,256,1024,640,62.208,85.89,85.823,0.9972
mixed,2,1,0.5,4.0,256,0,512,2048,1280,101.216,152.224,152.417,1.0038
mixed,2,1,0.5,4.0,256,0,1024,4096,2560,185.633,286.433,286.688,1.0025
mixed,2,1,0.5,4.0,256,0,2048,8192,5120,353.857,553.921,556.64,1.0136
mixed,2,1,0.5,4.0,256,0,4096,16384,10240,689.281,1090.72,1092.29,1.0039
mixed,2,1,0.5,4.0,256,512,128,512,320,64.352,64.384,64.191,-5.0313
mixed,2,1,0.5,4.0,256,512,256,1024,640,64.544,85.92,85.568,0.9835
mixed,2,1,0.5,4.0,256,512,512,2048,1280,101.438,153.793,152.801,0.9811
mixed,2,1,0.5,4.0,256,512,1024,4096,2560,186.241,286.848,286.304,0.9946
mixed,2,1,0.5,4.0,256,512,2048,8192,5120,353.44,554.53,557.794,1.0162
mixed,2,1,0.5,4.0,256,512,4096,16384,10240,688.833,1091.43,1095.87,1.011
mixed,2,1,0.5,4.0,256,1024,128,512,320,95.169,95.456,95.102,-0.2334
mixed,2,1,0.5,4.0,256,1024,256,1024,640,95.904,96.673,96,0.1248
mixed,2,1,0.5,4.0,256,1024,512,2048,1280,102.273,153.665,153.376,0.9944
mixed,2,1,0.5,4.0,256,1024,1024,4096,2560,187.232,286.816,287.008,1.0019
mixed,2,1,0.5,4.0,256,1024,2048,8192,5120,354.72,556.995,557.024,1.0001
mixed,2,1,0.5,4.0,256,1024,4096,16384,10240,689.727,1093.54,1096.64,1.0077
mixed,2,1,0.5,4.0,256,2048,128,512,320,159.104,160.128,159.775,0.6553
mixed,2,1,0.5,4.0,256,2048,256,1024,640,159.393,161.502,159.648,0.1209
mixed,2,1,0.5,4.0,256,2048,512,2048,1280,160.673,162.72,161.76,0.531
mixed,2,1,0.5,4.0,256,2048,1024,4096,2560,187.585,287.905,286.943,0.9904
mixed,2,1,0.5,4.0,256,2048,2048,8192,5120,354.049,557.568,557.408,0.9992
mixed,2,1,0.5,4.0,256,2048,4096,16384,10240,689.921,1093.63,1095.33,1.0042
mixed,2,1,0.5,4.0,256,4096,128,512,320,289.377,289.632,289.826,1.7608
mixed,2,1,0.5,4.0,256,4096,256,1024,640,289.505,289.762,289.696,0.7432
mixed,2,1,0.5,4.0,256,4096,512,2048,1280,289.568,289.664,289.409,-1.6562
mixed,2,1,0.5,4.0,256,4096,1024,4096,2560,290.657,291.01,290.559,-0.2776
mixed,2,1,0.5,4.0,256,4096,2048,8192,5120,355.392,557.12,557.09,0.9999
mixed,2,1,0.5,4.0,256,4096,4096,16384,10240,689.698,1093.79,1093.83,1.0001
mixed,2,1,0.5,4.0,256,8192,128,512,320,558.017,559.234,559.009,0.8151
mixed,2,1,0.5,4.0,256,8192,256,1024,640,558.593,557.825,558.016,
mixed,2,1,0.5,4.0,256,8192,512,2048,1280,558.595,556.352,557.411,
mixed,2,1,0.5,4.0,256,8192,1024,4096,2560,556.418,556.352,556.801,
mixed,2,1,0.5,4.0,256,8192,2048,8192,5120,556.8,558.688,560.704,2.0678
mixed,2,1,0.5,4.0,256,8192,4096,16384,10240,689.698,1091.97,1096.99,1.0125
mixed,2,1,0.5,4.0,512,0,128,512,320,54.592,60.542,59.424,0.8121
mixed,2,1,0.5,4.0,512,0,256,1024,640,68.928,92.321,91.232,0.9534
mixed,2,1,0.5,4.0,512,0,512,2048,1280,107.584,156.961,156.865,0.9981
mixed,2,1,0.5,4.0,512,0,1024,4096,2560,189.409,288.896,288.703,0.9981
mixed,2,1,0.5,4.0,512,0,2048,8192,5120,354.751,554.817,556.034,1.0061
mixed,2,1,0.5,4.0,512,0,4096,16384,10240,688.832,1089.02,1092.29,1.0082
mixed,2,1,0.5,4.0,512,512,128,512,320,86.272,87.2,86.272,0.0
mixed,2,1,0.5,4.0,512,512,256,1024,640,87.295,92.738,92.48,0.9526
mixed,2,1,0.5,4.0,512,512,512,2048,1280,109.375,159.202,158.24,0.9807
mixed,2,1,0.5,4.0,512,512,1024,4096,2560,192.193,291.712,291.106,0.9939
mixed,2,1,0.5,4.0,512,512,2048,8192,5120,358.401,560.065,560.61,1.0027
mixed,2,1,0.5,4.0,512,512,4096,16384,10240,693.377,1094.02,1097.92,1.0097
mixed,2,1,0.5,4.0,512,1024,128,512,320,120.097,120.672,119.522,-1.0
mixed,2,1,0.5,4.0,512,1024,256,1024,640,120.258,120.448,119.808,-2.3684
mixed,2,1,0.5,4.0,512,1024,512,2048,1280,120.768,161.056,159.393,0.9587
mixed,2,1,0.5,4.0,512,1024,1024,4096,2560,193.985,294.176,292.961,0.9879
mixed,2,1,0.5,4.0,512,1024,2048,8192,5120,359.937,558.786,561.376,1.013
mixed,2,1,0.5,4.0,512,1024,4096,16384,10240,694.113,1091.74,1097.76,1.0151
mixed,2,1,0.5,4.0,512,2048,128,512,320,186.944,186.496,185.825,
mixed,2,1,0.5,4.0,512,2048,256,1024,640,186.591,187.232,186.241,-0.546
mixed,2,1,0.5,4.0,512,2048,512,2048,1280,187.265,188.542,187.744,0.3751
mixed,2,1,0.5,4.0,512,2048,1024,4096,2560,195.584,295.488,294.786,0.993
mixed,2,1,0.5,4.0,512,2048,2048,8192,5120,360.993,561.827,563.81,1.0099
mixed,2,1,0.5,4.0,512,2048,4096,16384,10240,695.809,1095.68,1098.59,1.0073
mixed,2,1,0.5,4.0,512,4096,128,512,320,318.432,315.234,314.56,
mixed,2,1,0.5,4.0,512,4096,256,1024,640,315.009,316.322,316.801,1.3648
mixed,2,1,0.5,4.0,512,4096,512,2048,1280,316.319,318.272,316.353,0.0174
mixed,2,1,0.5,4.0,512,4096,1024,4096,2560,317.697,321.09,318.144,0.1317
mixed,2,1,0.5,4.0,512,4096,2048,8192,5120,364.736,565.442,565.538,1.0005
mixed,2,1,0.5,4.0,512,4096,4096,16384,10240,697.409,1099.59,1102.21,1.0065
mixed,2,1,0.5,4.0,512,8192,128,512,320,568.355,568.581,568.546,0.8451
mixed,2,1,0.5,4.0,512,8192,256,1024,640,570.623,569.824,568.671,
mixed,2,1,0.5,4.0,512,8192,512,2048,1280,570.528,570.881,570.272,-0.7252
mixed,2,1,0.5,4.0,512,8192,1024,4096,2560,572.352,572.449,571.071,-13.2062
mixed,2,1,0.5,4.0,512,8192,2048,8192,5120,572.961,571.84,571.264,
mixed,2,1,0.5,4.0,512,8192,4096,16384,10240,699.392,1101.89,1104.74,1.0071
mixed,2,1,0.5,4.0,1024,0,128,512,320,128.8,134.304,130.433,0.2967
mixed,2,1,0.5,4.0,1024,0,256,1024,640,134.85,144.256,138.56,0.3944
mixed,2,1,0.5,4.0,1024,0,512,2048,1280,160.031,207.073,202.912,0.9115
mixed,2,1,0.5,4.0,1024,0,1024,4096,2560,239.423,330.592,327.808,0.9695
mixed,2,1,0.5,4.0,1024,0,2048,8192,5120,395.937,579.327,574.21,0.9721
mixed,2,1,0.5,4.0,1024,0,4096,16384,10240,701.345,1100.58,1101.06,1.0012
mixed,2,1,0.5,4.0,1024,512,128,512,320,192.738,193.889,192.479,-0.225
mixed,2,1,0.5,4.0,1024,512,256,1024,640,193.312,201.28,199.969,0.8355
mixed,2,1,0.5,4.0,1024,512,512,2048,1280,201.377,244.032,237.057,0.8365
mixed,2,1,0.5,4.0,1024,512,1024,4096,2560,275.297,367.681,361.952,0.938
mixed,2,1,0.5,4.0,1024,512,2048,8192,5120,427.522,614.336,609.534,0.9743
mixed,2,1,0.5,4.0,1024,512,4096,16384,10240,737.314,1107.88,1105.41,0.9934
mixed,2,1,0.5,4.0,1024,1024,128,512,320,255.809,256.192,256.705,2.3394
mixed,2,1,0.5,4.0,1024,1024,256,1024,640,255.52,257.667,255.841,0.1495
mixed,2,1,0.5,4.0,1024,1024,512,2048,1280,257.792,278.847,271.329,0.6429
mixed,2,1,0.5,4.0,1024,1024,1024,4096,2560,308.481,402.174,395.521,0.929
mixed,2,1,0.5,4.0,1024,1024,2048,8192,5120,463.809,650.626,645.311,0.9715
mixed,2,1,0.5,4.0,1024,1024,4096,16384,10240,773.154,1153.44,1143.14,0.9729
mixed,2,1,0.5,4.0,1024,2048,128,512,320,379.169,379.776,379.229,0.0988
mixed,2,1,0.5,4.0,1024,2048,256,1024,640,379.682,380.097,380.096,0.9976
mixed,2,1,0.5,4.0,1024,2048,512,2048,1280,380.863,380.929,381.699,12.6667
mixed,2,1,0.5,4.0,1024,2048,1024,4096,2560,390.401,468.032,460.225,0.8994
mixed,2,1,0.5,4.0,1024,2048,2048,8192,5120,527.937,715.235,706.657,0.9542
mixed,2,1,0.5,4.0,1024,2048,4096,16384,10240,839.393,1205.8,1210.34,1.0124
mixed,2,1,0.5,4.0,1024,4096,128,512,320,623.777,624.387,624.833,1.7311
mixed,2,1,0.5,4.0,1024,4096,256,1024,640,624.642,626.657,625.476,0.4139
mixed,2,1,0.5,4.0,1024,4096,512,2048,1280,627.713,625.795,626.532,
mixed,2,1,0.5,4.0,1024,4096,1024,4096,2560,627.266,631.713,628.482,0.2734
mixed,2,1,0.5,4.0,1024,4096,2048,8192,5120,660.898,847.361,842.146,0.972
mixed,2,1,0.5,4.0,1024,4096,4096,16384,10240,967.875,1345.86,1334.46,0.9699
mixed,2,1,0.5,4.0,1024,8192,128,512,320,1117.63,1121.28,1120.48,0.7813
mixed,2,1,0.5,4.0,1024,8192,256,1024,640,1120.22,1122.12,1116.19,-2.1339
mixed,2,1,0.5,4.0,1024,8192,512,2048,1280,1117.89,1116.77,1115.84,
mixed,2,1,0.5,4.0,1024,8192,1024,4096,2560,1116.87,1120.48,1118.43,0.4334
mixed,2,1,0.5,4.0,1024,8192,2048,8192,5120,1115.3,1144.1,1124.7,0.3266
mixed,2,1,0.5,4.0,1024,8192,4096,16384,10240,1225.6,1595.87,1588.39,0.9798
mixed,2,1,0.5,4.0,2048,0,128,512,320,325.856,332.482,329.536,0.5554
mixed,2,1,0.5,4.0,2048,0,256,1024,640,330.176,336.672,332.705,0.3893
mixed,2,1,0.5,4.0,2048,0,512,2048,1280,342.112,355.647,347.809,0.4209
mixed,2,1,0.5,4.0,2048,0,1024,4096,2560,389.217,485.984,474.4,0.8803
mixed,2,1,0.5,4.0,2048,0,2048,8192,5120,546.852,731.938,722.656,0.9499
mixed,2,1,0.5,4.0,2048,0,4096,16384,10240,854.755,1223.42,1221.15,0.9938
mixed,2,1,0.5,4.0,2048,512,128,512,320,434.978,435.073,431.808,-33.3684
mixed,2,1,0.5,4.0,2048,512,256,1024,640,437.282,441.857,437.185,-0.0212
mixed,2,1,0.5,4.0,2048,512,512,2048,1280,443.777,449.888,443.169,-0.0995
mixed,2,1,0.5,4.0,2048,512,1024,4096,2560,467.232,569.729,550.272,0.8102
mixed,2,1,0.5,4.0,2048,512,2048,8192,5120,630.24,817.121,804.257,0.9312
mixed,2,1,0.5,4.0,2048,512,4096,16384,10240,937.058,1310.98,1304.32,0.9822
mixed,2,1,0.5,4.0,2048,1024,128,512,320,532,535.071,532.868,0.2826
mixed,2,1,0.5,4.0,2048,1024,256,1024,640,536.514,539.426,536.929,0.1425
mixed,2,1,0.5,4.0,2048,1024,512,2048,1280,541.282,548.287,542.176,0.1276
mixed,2,1,0.5,4.0,2048,1024,1024,4096,2560,553.665,640.8,619.392,0.7543
mixed,2,1,0.5,4.0,2048,1024,2048,8192,5120,707.393,896.994,875.746,0.8879
mixed,2,1,0.5,4.0,2048,1024,4096,16384,10240,1018.34,1389.06,1379.3,0.9737
mixed,2,1,0.5,4.0,2048,2048,128,512,320,720.708,722.111,719.01,-1.2103
mixed,2,1,0.5,4.0,2048,2048,256,1024,640,726.37,730.112,723.327,-0.8132
mixed,2,1,0.5,4.0,2048,2048,512,2048,1280,732.227,738.432,725.729,-1.0472
mixed,2,1,0.5,4.0,2048,2048,1024,4096,2560,746.532,778.788,753.121,0.2043
mixed,2,1,0.5,4.0,2048,2048,2048,8192,5120,848.61,1062.65,1016.03,0.7822
mixed,2,1,0.5,4.0,2048,2048,4096,16384,10240,1184.07,1553.03,1518.47,0.9063
mixed,2,1,0.5,4.0,2048,4096,128,512,320,1087.94,1088.96,1089.03,1.0615
mixed,2,1,0.5,4.0,2048,4096,256,1024,640,1092.87,1097.54,1090.05,-0.6036
mixed,2,1,0.5,4.0,2048,4096,512,2048,1280,1098.15,1105.41,1092.13,-0.8285
mixed,2,1,0.5,4.0,2048,4096,1024,4096,2560,1107.59,1108.03,1103.91,-8.1871
mixed,2,1,0.5,4.0,2048,4096,2048,8192,5120,1115.94,1318.14,1265.09,0.7376
mixed,2,1,0.5,4.0,2048,4096,4096,16384,10240,1452.19,1917.64,1771.46,0.6859
mixed,2,1,0.5,4.0,2048,8192,128,512,320,1814.24,1821.92,1820.23,0.7796
mixed,2,1,0.5,4.0,2048,8192,256,1024,640,1815.56,1828.77,1819.52,0.3002
mixed,2,1,0.5,4.0,2048,8192,512,2048,1280,1827.59,1835.59,1825.13,-0.3077
mixed,2,1,0.5,4.0,2048,8192,1024,4096,2560,1837.48,1840.84,1829.83,-2.2772
mixed,2,1,0.5,4.0,2048,8192,2048,8192,5120,1837.89,1842.85,1842.85,0.9992
mixed,2,1,0.5,4.0,2048,8192,4096,16384,10240,1902.05,2312.32,2249.09,0.8459
pure,4,1,0.25,4.0,0,0,128,512,224,45.405,49.952,46.564,0.2549
pure,4,1,0.25,4.0,0,0,256,1024,448,48.545,59.647,51.584,0.2737
pure,4,1,0.25,4.0,0,0,512,2048,896,57.568,81.185,63.169,0.2372
pure,4,1,0.25,4.0,0,0,1024,4096,1792,76.16,116.481,79.136,0.0738
pure,4,1,0.25,4.0,0,0,2048,8192,3584,110.367,183.076,109.824,-0.0075
pure,4,1,0.25,4.0,0,0,4096,16384,7168,165.311,320.993,168.542,0.0208
mixed,4,1,0.25,4.0,16,0,128,512,224,30.464,52.479,51.68,0.9637
mixed,4,1,0.25,4.0,16,0,256,1024,448,45.535,84.672,84.033,0.9837
